dijkstraList,400,25%,5095828
dijkstraList,400,50%,5852122
dijkstraList,400,75%,14344665
dijkstraList,400,99%,17774986
dijkstraList,800,25%,25740048
dijkstraList,800,50%,48573104
dijkstraList,800,75%,75144962
dijkstraList,800,99%,101323004
dijkstraList,1000,25%,39445092
dijkstraList,1000,50%,82963902
dijkstraList,1000,75%,126359243
dijkstraList,1000,99%,108879148
dijkstraList,2000,25%,333880574
dijkstraList,2000,50%,814411195
dijkstraList,2000,75%,1073493425
dijkstraList,2000,99%,1157526258
dijkstraList,10,25%,7551
dijkstraList,10,50%,7174
dijkstraList,10,75%,8307
dijkstraList,10,99%,8684
dijkstraList,100,25%,192189
dijkstraList,100,50%,208047
dijkstraList,100,75%,463669
dijkstraList,100,99%,612059
dijkstraList,200,25%,843893
dijkstraList,200,50%,1649650
dijkstraList,200,75%,2320610
dijkstraList,200,99%,3010450
dijkstraList,400,25%,3384633
dijkstraList,400,50%,8796496
dijkstraList,400,75%,12558332
dijkstraList,400,99%,19346098
dijkstraList,800,25%,26057594
dijkstraList,800,50%,45839798
dijkstraList,800,75%,68900534
dijkstraList,800,99%,111227700
dijkstraList,1000,25%,40424537
dijkstraList,1000,50%,72182087
dijkstraList,1000,75%,146782201
dijkstraList,1000,99%,190732963
dijkstraList,2000,25%,333697824
dijkstraList,2000,50%,793284427
dijkstraList,2000,75%,1022699015
dijkstraList,2000,99%,1529317059
dijkstraList,10,25%,7929
dijkstraList,10,50%,7929
dijkstraList,10,75%,8307
dijkstraList,10,99%,7929
dijkstraList,100,25%,181239
dijkstraList,100,50%,218996
dijkstraList,100,75%,491987
dijkstraList,100,99%,602241
dijkstraList,200,25%,625651
dijkstraList,200,50%,1428765
dijkstraList,200,75%,2230368
dijkstraList,200,99%,1939632
dijkstraList,400,25%,4643864
dijkstraList,400,50%,7696226
dijkstraList,400,75%,13595168
dijkstraList,400,99%,18060436
dijkstraList,800,25%,25226539
dijkstraList,800,50%,55800375
dijkstraList,800,75%,77842399
dijkstraList,800,99%,108533284
dijkstraList,1000,25%,44537900
dijkstraList,1000,50%,94670034
dijkstraList,1000,75%,141110563
dijkstraList,1000,99%,181668385
dijkstraList,2000,25%,401419930
dijkstraList,2000,50%,791631001
dijkstraList,2000,75%,1152555409
dijkstraList,2000,99%,1348001334

dijkstraM,10,25%,58525
dijkstraM,10,50%,32850
dijkstraM,10,75%,44177
dijkstraM,10,99%,37758
dijkstraM,100,25%,1300010
dijkstraM,100,50%,1054960
dijkstraM,100,75%,910347
dijkstraM,100,99%,2159762
dijkstraM,200,25%,3375570
dijkstraM,200,50%,2998745
dijkstraM,200,75%,4005752
dijkstraM,200,99%,2610970
dijkstraM,400,25%,5914800
dijkstraM,400,50%,9747999
dijkstraM,400,75%,14725267
dijkstraM,400,99%,17121016
dijkstraM,800,25%,31682412
dijkstraM,800,50%,62898136
dijkstraM,800,75%,86820133
dijkstraM,800,99%,112289079
dijkstraM,1000,25%,58341869
dijkstraM,1000,50%,119556373
dijkstraM,1000,75%,167878764
dijkstraM,1000,99%,225065992
dijkstraM,2000,25%,415428171
dijkstraM,2000,50%,845415850
dijkstraM,2000,75%,1318805290
dijkstraM,2000,99%,1738017196
dijkstraM,10,25%,68342
dijkstraM,10,50%,40779
dijkstraM,10,75%,52483
dijkstraM,10,99%,46065
dijkstraM,100,25%,1552233
dijkstraM,100,50%,1310582
dijkstraM,100,75%,1204105
dijkstraM,100,99%,2387821
dijkstraM,200,25%,3957799
dijkstraM,200,50%,4373139
dijkstraM,200,75%,5197774
